DIVISION,DISTRICT,THANA/UPAZILA,EIIN,NAME OF THE SCHOOL,POST_OFFICE,LOCATION,MOBPHONE
BARISAL,BARGUNA,BARGUNA SADAR,100174,AYLA PATAKA SONAR BANGLA HIGH SCHOOL,JANGALIA,JANGALIA,1734756730
BARISAL,BARGUNA,BARGUNA SADAR,100170,AYLA SECONDARY SCHOOL,ADABARIA,ADHABARIA,1742886805
BARISAL,BARGUNA,BARGUNA SADAR,100153,BABUGANJ ADARSHA SECONDARY SCHOOL,SHIALIA,PADMA,1748560061
BARISAL,BARGUNA,BARGUNA SADAR,100158,BARGUNA ADARSHA GIRL'S HIGH SCHOOL,BARGUNA,SHER-E-BANGLA ROAD,1719764040
BARISAL,BARGUNA,BARGUNA SADAR,100157,BARGUNA COLLEGIATE HIGH SCHOOL,BARGUNA,COLLEGE ROOD,1710180950
BARISAL,BARGUNA,BARGUNA SADAR,100159,BARGUNA D.K.P SECONDARY  SCHOOL,BARGUNA,D.K.P ROAD,1716276875
BARISAL,BARGUNA,BARGUNA SADAR,100155,BARGUNA GOVT GIRL'S HIGH SCHOOL,BARGUNA,GIRL'S SCHOOL ROAD,1717313165
BARISAL,BARGUNA,BARGUNA SADAR,100179,BARGUNA MAITHA HIGH SCHOOL,BARGUNA,KHAJURTALA MATHA,1718623449
BARISAL,BARGUNA,BARGUNA SADAR,100154,BARGUNA ZILLA SCHOOL,BARGUNA,"HIGH SCHOOL SARAK, WARD -5",44862351
BARISAL,BARGUNA,BARGUNA SADAR,100171,BASHBUNIA HIGH SCHOOL,BARGUNA,BARGUNA,1766102305
BARISAL,BARGUNA,BARGUNA SADAR,100168,BAWALKER D K JR HIGH SCHOOL,BAWALKER,BAWALKER,1729478269
BARISAL,BARGUNA,BARGUNA SADAR,100172,BURIRCHAR A.M.G HIGH SCHOOL,BURIR CHAR,BURIR CHAR,1714934175
BARISAL,BARGUNA,BARGUNA SADAR,100182,CHALITALI HIGH SCHOOL,CHALITATALI BAZAR,CHLITATALI,1713933440
BARISAL,BARGUNA,BARGUNA SADAR,100152,CHALITATALI KB HIGH SCHOOL,BAWALKAR,CHALITATALA,1911042031
BARISAL,BARGUNA,BARGUNA SADAR,100177,CHARAKGACHHIA PROGOTI HIGH SCHOOL,NOLI,CHARAKGACHHIA,1731016090
BARISAL,BARGUNA,BARGUNA SADAR,100181,CHHOTO GOURICHANNA HIGH SCHOOL,MIRMOHAL,CHHOTO GOURICHANNA,1721429599
BARISAL,BARGUNA,BARGUNA SADAR,100193,CHOTO LABON GOLA HAZAR BIGHA HIGH SCHOOL,CHROKGASIA,CHOTO LABON GOLA,1728874263
BARISAL,BARGUNA,BARGUNA SADAR,100175,DALVANGA B M HIGH SCHOOL,DALBHANGA,DALBHANGA,1721539630
BARISAL,BARGUNA,BARGUNA SADAR,100149,DEMA GULISHA KHALI HAKMIA HIGH SCHOOL,SOUTH TETUL BARIA,DEMA GULISHA KHALI,1733730760
BARISAL,BARGUNA,BARGUNA SADAR,100176,FUL DHALUA KATHAL TALI HIGH SCHOOL,DHALBANGA,FUL DHALUA,1716315181
BARISAL,BARGUNA,BARGUNA SADAR,100146,FULJHURE M. L SECONDARY SCHOOL,FULJHURI,FULJHURE,1728366959
BARISAL,BARGUNA,BARGUNA SADAR,100183,GARJONBUNIA HIGH SCHOOL,SHIALIA,GARJONBUNIA,1916554273
BARISAL,BARGUNA,BARGUNA SADAR,100150,GOURICHANNA NAWAB SALIMULLAH HIGH SCHOOL,GOURICHANNA,GOURICHANNA,1720085056
BARISAL,BARGUNA,BARGUNA SADAR,100156,GUDI GHATA HIGH SCHOOL,HARIDRABARIA,GUDI GHATA,1761101344
BARISAL,BARGUNA,BARGUNA SADAR,100245,ITBARIA KADAMTALA  HIGH SCHOOL,KADAMTALA BAZAR,KADAMTALA,1712167893
BARISAL,BARGUNA,BARGUNA SADAR,100162,KARAITALA SONAKHALI GAGON MEMORIAL HIGH SCHOOL,BARGUNA,GAGON ALI SAROK,1736727124
BARISAL,BARGUNA,BARGUNA SADAR,100244,KEORABUNIA HIGH SCHOOL,ASHAKHALI,KEORABUNIA,1726943928
BARISAL,BARGUNA,BARGUNA SADAR,100160,LAKURTALA SONAR BANGLA HIGH SCHOOL,BARGUNA,LAKURTALA,1718204483
BARISAL,BARGUNA,BARGUNA SADAR,100147,LEMUA IDEAL HIGH SCHOOL,KOTBARIA,LEMUA,1732097754
BARISAL,BARGUNA,BARGUNA SADAR,100167,LEMUA KHAJURA PK. HIGH SCHOOL,KHAJURA,LEMUA,1724124864
BARISAL,BARGUNA,BARGUNA SADAR,100188,LEMUA P.K.  HIGH SCHOOL,KADAMTALA,KADAMTALA,1718228005
BARISAL,BARGUNA,BARGUNA SADAR,100194,MANASATALI LAKURTALA  A B R HIGH SCHOOL,MAITHA,MANASATALI,1751426977
BARISAL,BARGUNA,BARGUNA SADAR,100144,MOHOSIN UDDIN MEMORIAL SECONDARY SCHOOL,GAURICHANNA,BURIR KHAL,1711946825
BARISAL,BARGUNA,BARGUNA SADAR,100166,NALI MAITHA HIGH SCHOOL,MAITHA,MAITHA,1727636038
BARISAL,BARGUNA,BARGUNA SADAR,100163,NALI MUSLIM HIGHER SECONDARY SCHOOL,NALI,NALI,1732286667
BARISAL,BARGUNA,BARGUNA SADAR,100189,NAPITKHALI PONCHOGRAM HIGH SCHOOL,BURIR CHAR,NAPITKHALI,1721987687
BARISAL,BARGUNA,BARGUNA SADAR,100161,NASIMA MOZIBOR  GIRLS HIGH SCHOOL,ROAD PARA,MANOSHATALI,1740514712
BARISAL,BARGUNA,BARGUNA SADAR,100151,NIMTOLI AZIZABAD C M SECONDARY GIRL'S SCHOOL,KHAKBUNIA,AZIZABAD,1718852003
BARISAL,BARGUNA,BARGUNA SADAR,100169,PARIRKHAL HIGH SCHOOL,PARIRKHAL,PARIRKHAL,1714900616
BARISAL,BARGUNA,BARGUNA SADAR,100196,POLICE LINE HIGH SCHOOL,BARGUNA,POLICE LINE,1833514050
BARISAL,BARGUNA,BARGUNA SADAR,100192,PURAKATA GIRLS HIGH SCHOOL,BURIR CHAR,PURAKATA,1727983702
BARISAL,BARGUNA,BARGUNA SADAR,100191,PURBO ROYBHOGE  HIGH SCHOOL,KHAKBUNIA,RAYBHOGE,1720510730
BARISAL,BARGUNA,BARGUNA SADAR,100187,RAYER TABAK J S SECONDARY SCHOOL,HAULI BUNIA,RAYER TABAK,1796293488
BARISAL,BARGUNA,BARGUNA SADAR,100173,ROAD PARA SHAHID SMIRITY HIGH SCHOOL,ROADPARA HAT,ROAD PARA,1716310426
BARISAL,BARGUNA,BARGUNA SADAR,100165,SHIALIA MI HIGH SCHOOL,SHIALIA,SHIALA,1718204495
BARISAL,BARGUNA,BARGUNA SADAR,100195,SONAKHALI GIRLS  HIGH SCHOOL,ASHAKHALI,SONAKHALI,1712435879
BARISAL,BARGUNA,BARGUNA SADAR,100164,TETUL BARIA HIGH SCHOOL,S. TETULBARIA,TETUL BARIA,1740860795
BARISAL,BARGUNA,BETAGI,100247,B. L. B. JUNIOR HIGH SCHOOL,BETAGI,DHAKHIN BHOLONATPUR,1721800205
BARISAL,BARGUNA,BETAGI,100260,BALAI BUNIA HIGH SCHOOL,TALBARI BALAI BUNIA,BALAI BUNIA,1721059175
BARISAL,BARGUNA,BETAGI,100250,BETAGI HIGH SCHOOL,BETAGI,BETAGI,1712434877
BARISAL,BARGUNA,BETAGI,100264,BHORA KALIKABARI HATEM ALI HIGH SCHOOL,KALIKABARI,KALIKA BARI,1720300376
BARISAL,BARGUNA,BETAGI,100265,BHORA SOUTH KALIKABARI ARSHEDIA HIGH SCHOOL,DAKHSIN BHORA,BHORA,1712368253
BARISAL,BARGUNA,BETAGI,100255,CHANDKHALI ISHAQUE HIGH SCHOOL,AYELA CHANDKHALI,CHANDKHALI,1716269452
BARISAL,BARGUNA,BETAGI,100261,CHHOPKHALI HIGH SCHOOL,CHOPKHALI,CHOPKHALI,1717878066
BARISAL,BARGUNA,BETAGI,100269,DESHANTARKAT SECONDARY SCHOOL,DESANTARKATI,DESHANTER KATHI,1731357233
BARISAL,BARGUNA,BETAGI,100251,FULTALA BIBICHINI BIKASH HIGH SCHOOL,FULTALA,FULTALA,1718924846
BARISAL,BARGUNA,BETAGI,100259,HOSNABAD ADARSHA SECONDARY SCHOOL,RAHIMABAD,HOSNABAD ADARSHA SECONDARY SCHOOL,1852764979
BARISAL,BARGUNA,BETAGI,100262,JAMIR UDDIN SECONDARY SCHOOL,KALIKABARI,KALIKABARI,1721903214
BARISAL,BARGUNA,BETAGI,100268,KAIALGHATA HIGH SCHOOL,KAIALGHATA,KAIALGHATA,1714901517
BARISAL,BARGUNA,BETAGI,100252,KAUNIA EMDADIA SECODARY SCHOOL,KAUNIAHAT,KAUNIA,1719847400
BARISAL,BARGUNA,BETAGI,100266,KAUNIA SECONDARY GIRLS SCHOOL,KAUNIAHAT,KAUNIA,1725680614
BARISAL,BARGUNA,BETAGI,100267,KAZIRHAT HIGH SCHOOL,KARUNA,DAKKIN KARUNA,1710830502
BARISAL,BARGUNA,BETAGI,100253,KUMRAKHALI SHASHI BHUSHAN SECONDARY SCHOOL,KUMRAKHALI,KUMRAKHALI,1721109860
BARISAL,BARGUNA,BETAGI,100257,MOKAMIA HIGH SCHOOL,MOKAMIA,CHHOTA MOKAMIA,1770225564
BARISAL,BARGUNA,BETAGI,100254,PUTIAKHALI ADARSHA SECONDARY SCHOOL,GARIABUNIA HAT,PUTIAKHALI,1718846656
BARISAL,BARGUNA,BETAGI,100249,SABUJ KANAN SECONDARY SCHOOL,BETAGI,KEORABUNIA,1718533210
BARISAL,BARGUNA,BETAGI,100258,TALGACHIA DESANTERKATI SECONDARY SCHOOL,TALGACHIA HIGH SCHOOL,TALGACHIA,1713932058
BARISAL,BARGUNA,BETAGI,100263,WEST KARUNA HIGH SCHOOL,KARUNA,BAMANER KARUNA,1734617284
BARISAL,BARGUNA,PATHARGHATA,100302,ANOWER HOSSIN GIRL'S HIGH SCHOOL,PATHARGHATA,PATHARGHATA   131,1822546454
BARISAL,BARGUNA,PATHARGHATA,100319,BAIN CHATKI SECONDARY SCHOOL,KAKCHIRA,BAINCHATKI,1721961645
BARISAL,BARGUNA,PATHARGHATA,100324,BARI AZAD SECONDARY SCHOOL,HARITANA,BADURTALA,1720353811
BARISAL,BARGUNA,PATHARGHATA,100307,CHARDUANI HIGH SCHOOL AND COLLEGE,CHARDUANI,CHARDUANI,1726826939
BARISAL,BARGUNA,PATHARGHATA,100325,D.SAYEDA FIROJA BEGUM SECONDARY GIRLS SCHOOL,LEMUA,LEMUA,1712444509
BARISAL,BARGUNA,PATHARGHATA,100322,GNANPARA KHALIFAR HAT HIGH SCHOOL,GNANPARA,GNANPARA,1714351877
BARISAL,BARGUNA,PATHARGHATA,100316,HARITANA  ADARSA SECONDARY SCHOOL,HARITANA,HARITANA,1735702372
BARISAL,BARGUNA,PATHARGHATA,100313,HATEMPUR SECONDARY SCHOOL,HATEMPUR,HATEMPUR,1726802074
BARISAL,BARGUNA,PATHARGHATA,100314,HOGLAPASHA  SURENDRANATH HIGH SCHOOL,MUNSHIRHAT,HOGLAPASHA,1720556411
BARISAL,BARGUNA,PATHARGHATA,136868,JALIAGHATA SESDP MODEL HIGH SCHOOL,RUPDHAN,FAKIRHAT,1721370797
BARISAL,BARGUNA,PATHARGHATA,100311,K.K. AZIZIA HIGH SCHOOL,AZIZIABAD,AZIZABAD,1715798712
BARISAL,BARGUNA,PATHARGHATA,100304,KAKCHIRA SECONDARY SCHOOL,KAKCHIRA,KAKCHIRA,1709901805
BARISAL,BARGUNA,PATHARGHATA,100300,KALMEGHA MUSLIM SECONDARY SCHOOL AND COLLEGE,KALMEGHA,KALMEGHA,1714511506
BARISAL,BARGUNA,PATHARGHATA,100317,KIRANPUR HIGH SCHOOL,MANIKKHALI,KIRANPUR,1715436939
BARISAL,BARGUNA,PATHARGHATA,100308,LEMUA ADARSHA SECONDARY SCHOOL,LEMUA,LEMUA,1719017281
BARISAL,BARGUNA,PATHARGHATA,100315,MADERTALI HIGH SCHOOL,MADARTALI,MADARTALI,1728196499
BARISAL,BARGUNA,PATHARGHATA,100301,MANIKKHALI RAHMANIA HIGH SCHOOL,MANIKKHALI,MANIKKHALI,1761852896
BARISAL,BARGUNA,PATHARGHATA,131225,N.I.KHAN RESIDANTIAL PUBLIC SCHOOL  AND COLLAGE,MUNSHIR HAT,HOGLAPASHA,1734617735
BARISAL,BARGUNA,PATHARGHATA,100309,NACHNAPARA MANIKKHALI HIGH SCHOOL,NACHNAPARA,GAHAN PARA,1710704513
BARISAL,BARGUNA,PATHARGHATA,100305,PATHARGHATA ADARSHA GIRLS HIGH SCHOOL,PATHARGHATA,PATHARGHATA,1733252044
BARISAL,BARGUNA,PATHARGHATA,100303,PATHARGHATA K. M. HIGH SCHOOL,PATHARGHATA,"PATHARGHATA POURASAVA-HOLDING NO.-335, 335/1,335/2",1715384128
BARISAL,BARGUNA,PATHARGHATA,100320,RUHITA  HIGH SCHOOL,KARAMJATALA,RUHITA,1725492454
BARISAL,BARGUNA,PATHARGHATA,100312,RUPDHAN BANDAR AMIRIA SECONDARY SCHOOL,RUPDHAN,RUPDHAN,1709901813
BARISAL,BARGUNA,PATHARGHATA,100318,SONARBANGLA HIGH SCHOOL,SHATKAR BETMOR,SHATAKAR BETMOR,1718845718
BARISAL,BARGUNA,PATHARGHATA,100321,TALUKCHARDUANI SECONDARY GIRLS SCHOOL,BUZRUGPUR,TALUKCHARDUANI,1736391069
BARISAL,BARGUNA,PATHARGHATA,100306,TASLIMA MEMORIAL ACADEMY,PATHARGHATA,PATHARGHATA KG SCHOOL ROAD,1710848422
BARISAL,BARGUNA,TALTALI,100005,ALIR BANDAR A M HIGH SCHOOL,KARAI BARIA,ALIR BANDAR,1710622148
BARISAL,BARGUNA,TALTALI,100047,ALL HAZ NASIR UDDIN JUNIOR SCHOOL,CHAWLA PARA,DAKKHEN JHARAKHALI,1761092984
BARISAL,BARGUNA,TALTALI,100043,BAGIR HAT SECONDARY SCHOOL.,CHHOTA BAGI,CHOTO BOGI,1712494503
BARISAL,BARGUNA,TALTALI,100007,BEHALA HIGH SCHOOL,BEHALA,BEHALA,1726164706
BARISAL,BARGUNA,TALTALI,100027,CHHOTO BOGI P.K HIGH SCHOOL,CHHOTO BOGI,CHHOTO BOGI,1784723128
BARISAL,BARGUNA,TALTALI,100049,CHOTO BOGI COMDECA GIRLS SCHOOL,CHOTO BOGI,CHOTO BHOGI,1716545444
BARISAL,BARGUNA,TALTALI,100045,LAUPARA SAGAR SAIKAT HIGH SCHOOL,SOKINA,LAUPARA,1718968713
BARISAL,BARGUNA,TALTALI,100002,NAYAVIZORA B. N. A HIGH SCHOOL,AGATHAKURPARA,NAYA VIZORA,1719938964
BARISAL,BARGUNA,TALTALI,100053,PANCHAKORALIA GIRLS  HIGH SCHOOL,PANCHA KORALIA,PANCHAKORALIA,1735542706
BARISAL,BARGUNA,TALTALI,136817,SOUTH JHARAKHALI SESDP MODEL HIGH SCHOOL,KORAIBARIA,SOUTHJHARAKHALI,1852075830
BARISAL,BARGUNA,TALTALI,100062,TALUKDERPARA HIGH SCHOOL,TALTALI,TALUKDERPARA,1719937792
BARISAL,BARISAL,AGAILJHARA,100350,AGAILJHARA BHEGAI HALDER PUBLIC ACADEMY,AGAILJHARA,AGAILJHARA,1713951559
BARISAL,BARISAL,AGAILJHARA,100348,AGAILJHARA SREEMATI MATREE MANGAL GIRLS HIGH SCHOOL,AGAILJHARA,AGAILJHARA,1727429495
BARISAL,BARISAL,AGAILJHARA,136126,BAGDHA (DASPARA) SESDP MODEL HIGH SCHOOL,BAGDHA,BAGDHA,1727861325
BARISAL,BARISAL,AGAILJHARA,100351,BAHADURPUR HIGH SCHOOL,BAHADURPUR,BAHADURPUR,01744-908286
BARISAL,BARISAL,AGAILJHARA,100347,BAKAL NIRANJAN BAIRAGI HIGH SCHOOL,BAKAL,BAKAL,17134231483
BARISAL,BARISAL,AGAILJHARA,100359,BARPAIKA SECONDARY SCHOOL,BARAPAIKA,BARPAIKA,1712367848
BARISAL,BARISAL,AGAILJHARA,100375,BASAIL  SECONDARY  GIRLS  SCHOOL,BASAIL,BASAIL,1715714293
BARISAL,BARISAL,AGAILJHARA,100354,BASAIL SECONDARY SCHOOL,BARA BASAIL,BORO BASAIL,1733113007
BARISAL,BARISAL,AGAILJHARA,100364,BATRA PREMCHAND GIRLS SCHOOL,KODAL DHOA,BATRA,1716848930
BARISAL,BARISAL,AGAILJHARA,100374,BHALUKSI HIGH SCHOOL ,BHALUKSI,BHALUKSI,1731495577
BARISAL,BARISAL,AGAILJHARA,100358,DUMURIA SECONDARY SCHOOL,BAKAL,DUMURIA,1731618275
BARISAL,BARISAL,AGAILJHARA,100349,GOILA MODEL SECONDARY SCHOOL,GOILA,KALUPARA,1709901852
BARISAL,BARISAL,AGAILJHARA,100369,JOBARPAR SECONDARY SCHOOL,JOBARPAR,JOBARPAR,1715087654
BARISAL,BARISAL,AGAILJHARA,100368,KATHIRA ADARSHA BIDDYA NIKETON,KATHIRA,KATHIRA,1720226756
BARISAL,BARISAL,AGAILJHARA,100360,KODALDHOA SECONDARY SCHOOL,KODALDHOA,KODALDHOA,1715671404
BARISAL,BARISAL,AGAILJHARA,100352,MOLLAPARA HIGH SCHOOL,MOLLAPARA,MOLLAPARA,1725498377
BARISAL,BARISAL,AGAILJHARA,100361,NAGHIRPAR SECONDARY SCHOOL,ASKAR,NAGHIRPAR,1720320839
BARISAL,BARISAL,AGAILJHARA,100371,OICHARMATH HIGH SCHOOL,MOLLAPARA,OICHARMATH,1731912457
BARISAL,BARISAL,AGAILJHARA,100363,RAJIHAR SECONDARY SCHOOL,RAJIHAR,RAJIHAR,1790931039
BARISAL,BARISAL,AGAILJHARA,100357,RAMANANDERAK  HIGH SCHOOL,RAJIHAR,RAMANANDER ANK,1734664016
BARISAL,BARISAL,AGAILJHARA,100372,RANGTA SECONDARY SCHOOL,RAJIHAR,RANGTA,1718873064
BARISAL,BARISAL,AGAILJHARA,100373,RATNOPUR SECONDARY SCHOOL,MISHRIPARAHAT,RAATNAPUR,1718379581
BARISAL,BARISAL,AGAILJHARA,100365,SAHEBERER HAT SECONDARY SCHOOL,MOLLAPARA,MOLLAPARA,1716144246
BARISAL,BARISAL,AGAILJHARA,100356,SHERAL ML.  HIGH SCHOOL,SHERAL,SHERAL,1709901862
BARISAL,BARISAL,AGAILJHARA,100366,TEMAR MALEKA KHATUN SECONDARY  GIRLS SCHOOL,SERAL,TEMAR,1734537573
BARISAL,BARISAL,AGAILJHARA,100370,UTTAR SIHIPASHA SECONDARY SCHOOL,GAILA,UTTAR SIHIPASHA,1715350320
BARISAL,BARISAL,BABUGANJ,100415,ACHIA WAJED GIRLS HIGH SCHOOL,KEDARPUR,KEDARPUR,1918049011
BARISAL,BARISAL,BABUGANJ,100393,AGARPUR ALTAF MEMORIAL HIGH SCHOOL,AGARPUR,AGARPUR,1728415862
BARISAL,BARISAL,BABUGANJ,100406,AROJI KALIKAPUR SECONDARY SCHOOL,MIRGANJ,AROJI KALIKAPUR,1731490858
BARISAL,BARISAL,BABUGANJ,100392,BABUGANJ PILOT HIGH SCHOOL,BABUGANJ,LOHALIYA,1728195047
BARISAL,BARISAL,BABUGANJ,100407,BABUGONJ PILOT GIRL'S SECENDARY SCHOOL,BABUGANJ,OLANKATHY,1787136082
BARISAL,BARISAL,BABUGANJ,100418,BAHERCHAR ADARSHA SECONDARY SCHOOL,BAHERCHAR KHUDRAKATI,BAHERCHAR GOSHALKATI,1712559330
BARISAL,BARISAL,BABUGANJ,100398,BAHERCHAR KHUDRAKATI K.K. HIGH SCHOOL,BARIR CHAR KHUDRAKATI,BAHERCHAR KHUDRAKATI,1711961103
BARISAL,BARISAL,BABUGANJ,100395,BAILAKHALI HIGH SCHOOL,BAILAKHALI,BAILAKHALI,1710020741
BARISAL,BARISAL,BABUGANJ,100396,BHUTERDIA SECONDARY SCHOOL,BHUTERDIA,BHUTERDIA,1724429264
BARISAL,BARISAL,BABUGANJ,100394,CHANDPASHA JR. HIGH SCHOOL,CHANDPASHA,GHOTOKERCHOR,1748963166
BARISAL,BARISAL,BABUGANJ,100414,CHANDPASHA UNION PARISHAD  HIGH SCHOOL,LAKUTIA,CHANDIPUR,1716950336
BARISAL,BARISAL,BABUGANJ,100400,DECREERCHAR ADARSHA JR. HIGH SCHOOL,CHAND PASHA,DECREERCHAR,1717252235
BARISAL,BARISAL,BABUGANJ,100391,DEHERGATI I.N. HIGH SCHOOL,DEHERGATI,DEHERGATI,1716721740
BARISAL,BARISAL,BABUGANJ,100402,GRAM BANGLA BIDDUPITH HIGH SCHOOL RAMJANKATI,RAMJANKATHI,RAMJANKATI,1846856706
BARISAL,BARISAL,BABUGANJ,100410,IDILKATI BAHERCHAR HIGH SCHOOL,SHIKARPUR,IDILKATI,1716003505
BARISAL,BARISAL,BABUGANJ,100401,JAHAPUR SECONDARY SCHOOL,JAHAPUR,JAHAPUR,1721190842
BARISAL,BARISAL,BABUGANJ,100397,JAMENA KHATUN SECONDARY SCHOOL,RAKUDIA,RAKUDIA,1716449573
BARISAL,BARISAL,BABUGANJ,136838,K B J SESDP MODEL HIGH SCHOOL,CAR UTTAR BHUTARDIA,NUTON CARBHUTARDIA,1716188087
BARISAL,BARISAL,BABUGANJ,100403,MADHAB PASHA GIRLS HIGH SCHOOL,MADHAB PASHA,MADHABPASHA,1725097492
BARISAL,BARISAL,BABUGANJ,100413,MODDOH BHUTER DIA HIGH SCHOOL,BHUTERDIA,BHUTERDIA,1716044509
BARISAL,BARISAL,BABUGANJ,100399,MOHONGANJ HIGH SCHOOL,CHANDPASHA,CHATIA,1732797327
BARISAL,BARISAL,BABUGANJ,100412,PASHCHIM BHUTERDIA SECONDARY SCHOOL,BHUTERDIA,PASHCHIM BHUTERDIA,1815429409
BARISAL,BARISAL,BABUGANJ,100389,PURBA BHUTERDIA  HIGH SCHOOL,BHRTERDIA,PURBA BHUTERDIA,1715882237
BARISAL,BARISAL,BABUGANJ,100409,PURBA CHANDPASHA SECONDARY SCHOOL,BAILAKHALI,GAZIPUR,1716184108
BARISAL,BARISAL,BABUGANJ,100390,RAHMATPUR SECONDARY SCHOOL,RAHAMTPUR,RAHMATPUR,1724772466
